,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Conta,Descrição da Conta,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
 3.01 , Receita de Venda de Bens e/ou Serviços ," 4,210,620 "," 931,907 "," 1,013,015 "," 1,188,622 "," 1,258,429 "," 1,126,117 "," 1,277,258 "," 1,317,483 "," 1,468,551 "," 1,369,762 "," 1,528,791 "," 1,613,067 "," 1,662,258 "," 1,477,577 "," 1,699,639 "," 1,758,381 "," 1,893,299 "," 1,783,543 "," 1,821,547 "," 2,055,972 "," 2,179,695 "," 2,130,291 "," 2,349,432 "," 2,546,349 "," 2,734,251 "," 2,416,344 "," 2,335,255 "," 2,238,078 "," 2,377,331 "," 2,134,229 "," 2,280,769 "," 2,435,085 "," 2,673,747 "," 2,551,476 "," 3,056,648 "," 3,237,309 "," 3,124,657 "," 2,932,379 "," 3,286,605 "," 3,349,604 "," 3,778,846 "," 3,714,436 "," 4,063,943 "," 4,801,260 "
 3.02 , Custo dos Bens e/ou Serviços Vendidos ,"-2,854,219 ","-623,294 ","-703,203 ","-811,395 ","-867,129 ","-815,455 ","-895,821 ","-899,217 ","-1,022,865 ","-977,830 ","-1,067,366 ","-1,114,536 ","-1,133,459 ","-1,013,973 ","-1,141,643 ","-1,159,168 ","-1,277,346 ","-1,213,122 ","-1,244,222 ","-1,417,439 ","-1,481,477 ","-1,491,668 ","-1,677,705 ","-1,821,547 ","-2,003,815 ","-1,743,591 ","-1,693,587 ","-1,619,116 ","-1,674,935 ","-1,496,877 ","-1,599,657 ","-1,701,858 ","-1,966,991 ","-1,827,877 ","-2,177,665 ","-2,288,304 ","-2,206,970 ","-2,074,772 ","-2,341,339 ","-2,344,433 ","-2,633,622 ","-2,616,903 ","-2,831,840 ","-3,289,688 "
 3.03 , Resultado Bruto ," 1,356,401 "," 308,613 "," 309,812 "," 377,227 "," 391,300 "," 310,662 "," 381,437 "," 418,266 "," 445,686 "," 391,932 "," 461,425 "," 498,531 "," 528,799 "," 463,604 "," 557,996 "," 599,213 "," 615,953 "," 570,421 "," 577,325 "," 638,533 "," 698,218 "," 638,623 "," 671,727 "," 724,802 "," 730,436 "," 672,753 "," 641,668 "," 618,962 "," 702,396 "," 637,352 "," 681,112 "," 733,227 "," 706,756 "," 723,599 "," 878,983 "," 949,005 "," 917,687 "," 857,607 "," 945,266 "," 1,005,171 "," 1,145,224 "," 1,097,533 "," 1,232,103 "," 1,511,572 "
 3.04 , Despesas/Receitas Operacionais ,"-733,834 ","-169,009 ","-180,123 ","-210,590 ","-224,593 ","-188,625 ","-216,768 ","-224,867 ","-262,666 ","-243,254 ","-259,611 ","-276,426 ","-292,985 ","-266,842 ","-299,060 ","-328,036 ","-331,075 ","-329,583 ","-326,086 ","-351,435 ","-383,041 ","-364,561 ","-397,090 ","-412,115 ","-433,577 ","-415,679 ","-400,708 ","-364,708 ","-391,010 ","-375,344 ","-380,894 ","-416,881 ","-402,916 ","-417,301 ","-490,273 ","-540,158 ","-514,511 ","-490,377 ","-507,029 ","-527,082 ","-581,046 ","-578,596 ","-612,638 ","-694,088 "
 3.04.01 , Despesas com Vendas ,"-408,179 ","-93,055 ","-100,257 ","-121,602 ","-119,335 ","-116,310 ","-123,172 ","-129,965 ","-141,215 ","-142,790 ","-155,462 ","-157,004 ","-166,459 ","-157,029 ","-174,312 ","-186,360 ","-198,657 ","-196,661 ","-191,300 ","-205,555 ","-226,955 ","-206,835 ","-236,201 ","-245,007 ","-262,209 ","-242,051 ","-233,148 ","-222,418 ","-227,382 ","-204,357 ","-214,260 ","-238,374 ","-237,362 ","-242,599 ","-284,127 ","-312,897 ","-299,790 ","-290,761 ","-296,313 ","-309,062 ","-357,029 ","-349,093 ","-356,198 ","-395,780 "
 3.04.02 , Despesas Gerais e Administrativas ,"-225,288 ","-57,861 ","-65,075 ","-71,111 ","-68,677 ","-58,199 ","-63,777 ","-66,033 ","-69,716 ","-67,133 ","-75,462 ","-81,075 ","-81,628 ","-73,273 ","-79,701 ","-85,576 ","-90,313 ","-88,703 ","-96,418 ","-97,548 ","-103,443 ","-106,341 ","-108,028 ","-119,326 ","-125,258 ","-118,924 ","-120,947 ","-109,558 ","-115,954 ","-114,031 ","-121,671 ","-125,875 ","-127,104 ","-129,450 ","-145,026 ","-154,625 ","-137,530 ","-138,504 ","-136,587 ","-135,468 ","-137,848 ","-155,685 ","-145,995 ","-169,122 "
 3.04.02.01 , Honorários dos Administradores ,"-13,840 ","-3,901 ","-4,176 ","-3,958 ","-5,301 ","-3,374 ","-3,421 ","-3,406 ","-3,427 ","-3,840 ","-3,775 ","-3,972 ","-4,059 ","-4,410 ","-4,353 ","-4,559 ","-4,688 ","-4,814 ","-4,934 ","-4,916 ","-5,484 ","-5,558 ","-5,336 ","-5,355 ","-5,945 ","-5,881 ","-5,645 ","-5,447 ","-5,627 ","-5,935 ","-5,790 ","-5,893 ","-6,013 ","-6,046 ","-6,425 ","-6,402 ","-6,501 ","-6,672 ","-6,597 ","-6,630 ","-6,710 ","-6,953 ","-6,088 ","-6,178 "
 3.04.02.02 , Outras Despesas Administrativas ,"-211,448 ","-53,960 ","-60,899 ","-67,153 ","-63,376 ","-54,825 ","-60,356 ","-62,627 ","-66,289 ","-63,293 ","-71,687 ","-77,103 ","-77,569 ","-68,863 ","-75,348 ","-81,017 ","-85,625 ","-83,889 ","-91,484 ","-92,632 ","-97,959 ","-100,783 ","-102,692 ","-113,971 ","-119,313 ","-113,043 ","-115,302 ","-104,111 ","-110,327 ","-108,096 ","-115,881 ","-119,982 ","-121,091 ","-123,404 ","-138,601 ","-148,223 ","-131,029 ","-131,832 ","-129,990 ","-128,838 ","-131,138 ","-148,732 ","-139,907 ","-162,944 "
 3.04.04 , Outras Receitas Operacionais ," 12,388 "," 8,515 "," 2,116 "," 5,541 "," 3,926 "," 8,671 "," 1,995 ", 479 ," 5,927 "," 4,958 "," 8,236 "," 1,246 "," 4,153 "," 5,568 "," 4,991 "," 2,382 "," 3,490 "," 1,846 "," 1,739 "," 2,072 "," 10,245 "," 3,511 "," 2,940 "," 14,393 "," 7,507 "," 4,468 "," 4,108 "," 2,085 "," 4,865 "," 2,078 "," 10,425 "," 5,339 "," 5,363 "," 3,371 "," 9,405 "," 3,940 "," 5,940 "," 4,265 "," 6,236 "," 4,473 "," 15,304 "," 7,885 "," 3,959 "," 3,821 "
 3.04.05 , Outras Despesas Operacionais ,"-119,204 ","-26,540 ","-18,179 ","-23,901 ","-40,910 ","-22,787 ","-31,814 ","-29,348 ","-57,662 ","-38,289 ","-36,923 ","-39,593 ","-49,051 ","-42,108 ","-50,038 ","-58,482 ","-45,595 ","-46,065 ","-40,107 ","-50,404 ","-62,888 ","-54,896 ","-55,801 ","-62,175 ","-53,617 ","-59,172 ","-50,721 ","-34,817 ","-52,539 ","-59,034 ","-55,388 ","-57,971 ","-43,813 ","-48,916 ","-70,525 ","-78,647 ","-84,196 ","-65,377 ","-83,204 ","-87,025 ","-109,069 ","-81,703 ","-110,173 ","-139,855 "
